time,strategy,exchange,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type
2020-01-28 09:30:00-05:00,BuyOnDrop,,GOOG,buy,market,fill,72.62799835205078,10,1,0.0,gtc,,0.0,1,,stock
2020-02-01 09:30:00-05:00,BuyOnDrop,,GOOG,sell,market,fill,71.71150207519531,10,1,0.0,gtc,,0.0,1,,stock
2020-02-25 09:30:00-05:00,BuyOnDrop,,GOOG,buy,market,fill,69.42250061035156,10,1,0.0,gtc,,0.0,1,,stock
2020-07-06 09:30:00-04:00,BuyOnDrop,,GOOG,sell,market,fill,74.25900268554688,10,1,0.0,gtc,,0.0,1,,stock
2020-07-14 09:30:00-04:00,BuyOnDrop,,GOOG,buy,market,fill,75.68199920654297,10,1,0.0,gtc,,0.0,1,,stock
2020-07-21 09:30:00-04:00,BuyOnDrop,,GOOG,sell,market,fill,78.42449951171875,10,1,0.0,gtc,,0.0,1,,stock
2020-07-24 09:30:00-04:00,BuyOnDrop,,GOOG,buy,market,fill,75.59349822998047,10,1,0.0,gtc,,0.0,1,,stock
2020-08-19 09:30:00-04:00,BuyOnDrop,,GOOG,sell,market,fill,79.0875015258789,10,1,0.0,gtc,,0.0,1,,stock
2020-09-04 09:30:00-04:00,BuyOnDrop,,GOOG,buy,market,fill,79.552001953125,10,1,0.0,gtc,,0.0,1,,stock
2020-10-30 09:30:00-04:00,BuyOnDrop,,GOOG,sell,market,fill,81.05049896240234,10,1,0.0,gtc,,0.0,1,,stock
2020-11-03 09:30:00-05:00,BuyOnDrop,,GOOG,buy,market,fill,82.510498046875,10,1,0.0,gtc,,0.0,1,,stock
2020-11-05 09:30:00-05:00,BuyOnDrop,,GOOG,sell,market,fill,88.16850280761719,10,1,0.0,gtc,,0.0,1,,stock
2020-11-11 09:30:00-05:00,BuyOnDrop,,GOOG,buy,market,fill,87.635498046875,10,1,0.0,gtc,,0.0,1,,stock
2020-11-18 09:30:00-05:00,BuyOnDrop,,GOOG,sell,market,fill,87.33899688720703,10,1,0.0,gtc,,0.0,1,,stock
2020-12-11 09:30:00-05:00,BuyOnDrop,,GOOG,buy,market,fill,89.0885009765625,10,1,0.0,gtc,,0.0,1,,stock
